"","Plant","Flowers","Date","lon","lat","ele","Month","Year","julian"
"1","Glossoloma oblongicalyx",4,2015-10-19,-78.590933,0.130838,2270,"October","2015",292
"2","Gasteranthus quitensis",2,2016-10-17,-78.5977,0.12007,1940,"October","2016",291
"3","Kohleria affinis",1,2016-12-13,-78.595343,0.126746,2110,"December","2016",348
"4","Columnea ciliata",3,2014-02-27,-78.599339,0.116682,1960,"February","2014",58
"5","Columnea medicinalis",1,2014-04-23,-78.593723,0.1287,2130,"April","2014",113
"6","Drymonia teuscheri",3,2016-07-28,-78.592449,0.129393,2200,"July","2016",210
"7","Glossoloma oblongicalyx",1,2016-07-28,-78.592449,0.129393,2200,"July","2016",210
"8","Columnea kucyniakii",4,2015-01-13,-78.598576,0.117763,1940,"January","2015",13
"9","Columnea kucyniakii",4,2015-01-13,-78.598576,0.117763,1940,"January","2015",13
"10","Columnea kucyniakii",8,2015-01-13,-78.598576,0.117763,1940,"January","2015",13
"11","Gasteranthus quitensis",6,2015-10-20,-78.593305,0.115384,1740,"October","2015",293
"12","Besleria solanoides",60,2016-10-17,-78.597679,0.120519,1940,"October","2016",291
"13","Besleria solanoides",90,2014-11-05,-78.596503,0.116153,1850,"November","2014",309
"14","Besleria solanoides",2,2014-12-03,-78.595325,0.114718,1780,"December","2014",337
"15","Columnea medicinalis",1,2015-07-29,-78.599425,0.11661,1950,"July","2015",210
"16","Gasteranthus lateralis",2,2016-10-18,-78.593157,0.129148,2160,"October","2016",292
"17","Besleria solanoides",12,2014-12-03,-78.59747,0.121278,1980,"December","2014",337
"18","Glossoloma oblongicalyx",1,2016-05-10,-78.591766,0.12981,2230,"May","2016",131
"19","Columnea strigosa",1,2014-07-23,-78.583973,0.128314,2400,"July","2014",204
"20","Columnea strigosa",3,2014-07-23,-78.583973,0.128314,2400,"July","2014",204
"21","Besleria solanoides",32,2016-09-05,-78.593417,0.129016,2140,"September","2016",249
"22","Gasteranthus quitensis",4,2016-10-17,-78.597771,0.119956,1940,"October","2016",291
"23","Besleria solanoides",120,2014-11-05,-78.596216,0.115235,1820,"November","2014",309
"24","Besleria solanoides",180,2014-11-05,-78.596216,0.115235,1820,"November","2014",309
"25","Columnea ciliata",1,2015-03-07,-78.634733,0.116247,1390,"March","2015",66
"26","Columnea mastersonii",3,2014-06-07,-78.635258,0.117132,1370,"June","2014",158
"27","Columnea ciliata",2,2015-01-18,-78.595315,0.126799,2120,"January","2015",18
"28","Besleria solanoides",280,2015-10-20,-78.597111,0.116426,1860,"October","2015",293
"29","Gasteranthus quitensis",15,2015-10-20,-78.597111,0.116426,1860,"October","2015",293
"30","Besleria solanoides",15,2016-10-18,-78.593121,0.129135,2160,"October","2016",292
"31","Besleria solanoides",4,2014-12-03,-78.597405,0.121371,1980,"December","2014",337
"32","Besleria solanoides",45,2014-12-03,-78.597405,0.121371,1980,"December","2014",337
